Company,Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Trans_type,Gear_num
BMW,M340i,3.0,6.0,2WD,Gasoline,small car,5,23,31,26,5,No,340,SemiAuto,8
BMW,M340i,3.0,6.0,4WD,Gasoline,small car,5,23,31,26,5,No,341,SemiAuto,8
BMW,M4 Competition Coupe,3.0,6.0,2WD,Gasoline,small car,5,16,23,19,4,No,470,SemiAuto,8
BMW,M4 Competition M,3.0,6.0,4WD,Gasoline,small car,5,16,22,18,4,No,477,SemiAuto,8
BMW,M4 Competition M Convertible,3.0,6.0,4WD,Gasoline,small car,5,16,23,18,4,No,484,SemiAuto,8
BMW,M4 Coupe,3.0,6.0,2WD,Gasoline,small car,5,16,23,19,4,No,472,Man,6
BMW,M440i,3.0,6.0,2WD,Gasoline,small car,5,24,32,27,5,No,329,SemiAuto,8
BMW,M440i,3.0,6.0,4WD,Gasoline,small car,5,22,30,25,5,No,351,SemiAuto,8
BMW,M440i Convertible,3.0,6.0,2WD,Gasoline,small car,5,23,31,26,5,No,338,SemiAuto,8
BMW,M440i Gran Coupe,3.0,6.0,2WD,Gasoline,small car,5,24,32,27,5,No,329,SemiAuto,8
BMW,M440i Gran Coupe,3.0,6.0,4WD,Gasoline,small car,5,22,30,25,5,No,351,SemiAuto,8
BMW,M440i xDrive Coupe,3.0,6.0,4WD,Gasoline,small car,5,22,31,25,5,No,347,SemiAuto,8
BMW,M8 Competition Convertible,4.4,8.0,4WD,Gasoline,small car,3,15,22,17,3,No,517,SemiAuto,8
BMW,M8 Competition Coupe,4.4,8.0,4WD,Gasoline,small car,3,15,22,17,3,No,517,SemiAuto,8
BMW,M8 Competition Gran Coupe,4.4,8.0,4WD,Gasoline,midsize car,3,15,22,17,3,No,517,SemiAuto,8
BMW,M850i xDrive,4.4,8.0,4WD,Gasoline,small car,3,17,24,19,4,No,457,SemiAuto,8
BMW,M850i xDrive Convertible,4.4,8.0,4WD,Gasoline,small car,3,17,24,19,4,No,457,SemiAuto,8
BMW,M850i xDrive Gran Coupe,4.4,8.0,4WD,Gasoline,midsize car,3,17,24,19,4,No,457,SemiAuto,8
BMW,X1 M35i,2.0,4.0,4WD,Gasoline,small SUV,6,23,31,26,5,No,334,AMS,7
BMW,X3 M,3.0,6.0,4WD,Gasoline,small SUV,3,15,20,17,3,No,519,SemiAuto,8
BMW,X3 M Competition,3.0,6.0,4WD,Gasoline,small SUV,3,15,20,17,3,No,519,SemiAuto,8
BMW,X3 M40i,3.0,6.0,4WD,Gasoline,small SUV,5,21,26,23,5,No,378,SemiAuto,8
BMW,X3 sDrive30i,2.0,4.0,2WD,Gasoline,small SUV,7,23,29,25,5,No,352,SemiAuto,8
BMW,X3 xDrive30i,2.0,4.0,4WD,Gasoline,small SUV,7,21,28,24,5,No,369,SemiAuto,8
BMW,X4 M,3.0,6.0,4WD,Gasoline,small SUV,3,15,20,17,3,No,519,SemiAuto,8
BMW,X4 M Competition,3.0,6.0,4WD,Gasoline,small SUV,3,15,20,17,3,No,519,SemiAuto,8
BMW,X4 M40i,3.0,6.0,4WD,Gasoline,small SUV,5,21,26,23,5,No,378,SemiAuto,8
BMW,X4 xDrive30i,2.0,4.0,4WD,Gasoline,small SUV,7,21,28,24,5,No,369,SemiAuto,8
BMW,X5 M Competition,4.4,8.0,4WD,Gasoline,standard SUV,5,13,18,15,2,No,589,SemiAuto,8
BMW,X5 M60i xDrive,4.4,8.0,4WD,Gasoline,standard SUV,5,17,22,19,4,No,458,SemiAuto,8
BMW,X5 xDrive40i,3.0,6.0,4WD,Gasoline,standard SUV,7,23,27,25,5,No,352,SemiAuto,8
BMW,X5 xDrive50e,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,57,59,58,9,Yes,130,SemiAuto,8
BMW,X6 M Competition,4.4,8.0,4WD,Gasoline,standard SUV,5,13,18,15,2,No,589,SemiAuto,8
BMW,X6 M60i xDrive,4.4,8.0,4WD,Gasoline,standard SUV,5,17,22,19,4,No,458,SemiAuto,8
BMW,X6 xDrive40i,3.0,6.0,4WD,Gasoline,standard SUV,7,23,26,24,5,No,359,SemiAuto,8
BMW,X7 M60i xDrive,4.4,8.0,4WD,Gasoline,standard SUV,5,16,21,18,4,No,481,SemiAuto,8
BMW,X7 xDrive40i,3.0,6.0,4WD,Gasoline,standard SUV,7,21,25,22,5,No,392,SemiAuto,8
BMW,XM,4.4,8.0,4WD,Gasoline/Electricity,standard SUV,7,46,46,46,7,No,244,SemiAuto,8
BMW,XM Label,4.4,8.0,4WD,Gasoline/Electricity,standard SUV,7,46,46,46,7,No,255,SemiAuto,8
BMW,Z4,2.0,4.0,2WD,Gasoline,small car,7,25,33,28,6,No,312,SemiAuto,8
BMW,Z4 M40i,3.0,6.0,2WD,Gasoline,small car,5,23,31,26,5,No,338,SemiAuto,8
BUGATTI,Chiron Super Sport,8.0,16.0,4WD,Gasoline,small car,1,8,11,9,1,No,979,AMS,7
BUICK,Enclave,3.6,6.0,2WD,Gasoline,standard SUV,6,18,26,21,4,No,433,Auto,9
BUICK,Enclave,3.6,6.0,4WD,Gasoline,standard SUV,6,17,25,20,4,No,450,Auto,9
BUICK,Encore GX,1.2,3.0,2WD,Gasoline,small SUV,7,30,31,30,6,No,297,CVT,0
BUICK,Encore GX,1.3,3.0,4WD,Gasoline,small SUV,7,26,28,27,5,No,333,Auto,9
BUICK,Encore GX,1.3,3.0,2WD,Gasoline,small SUV,7,29,31,30,6,No,297,CVT,0
BUICK,Envista,1.2,3.0,2WD,Gasoline,station wagon,7,28,32,30,6,No,296,Auto,6
CADILLAC,CT4,2.0,4.0,2WD,Gasoline,small car,7,22,32,26,5,No,345,SemiAuto,8
CADILLAC,CT4,2.0,4.0,4WD,Gasoline,small car,7,21,31,25,5,No,357,SemiAuto,8
CADILLAC,CT4,2.7,4.0,2WD,Gasoline,small car,6,21,31,25,5,No,356,SemiAuto,10
CADILLAC,CT4,2.7,4.0,4WD,Gasoline,small car,6,21,29,24,5,No,371,SemiAuto,10
CADILLAC,CT4 V,2.7,4.0,2WD,Gasoline,small car,6,20,29,23,5,No,384,SemiAuto,10
CADILLAC,CT4 V,2.7,4.0,4WD,Gasoline,small car,6,20,28,23,5,No,387,SemiAuto,10
CADILLAC,CT4 V,3.6,6.0,2WD,Gasoline,small car,5,15,23,18,4,No,488,Man,6
CADILLAC,CT4 V,3.6,6.0,2WD,Gasoline,small car,5,16,24,19,4,No,478,SemiAuto,10
CADILLAC,CT5,2.0,4.0,2WD,Gasoline,midsize car,7,23,33,27,5,No,333,SemiAuto,10
CADILLAC,CT5,2.0,4.0,4WD,Gasoline,midsize car,7,22,30,25,5,No,358,SemiAuto,10
CADILLAC,CT5,3.0,6.0,2WD,Gasoline,midsize car,5,19,27,22,5,No,406,SemiAuto,10
CADILLAC,CT5,3.0,6.0,4WD,Gasoline,midsize car,5,18,26,21,4,No,419,SemiAuto,10
CADILLAC,CT5 V,3.0,6.0,2WD,Gasoline,midsize car,5,18,27,21,4,No,423,SemiAuto,10
CADILLAC,CT5 V,3.0,6.0,4WD,Gasoline,midsize car,5,18,26,21,4,No,419,SemiAuto,10
CADILLAC,CT5 V,6.2,8.0,2WD,Gasoline,midsize car,3,13,21,15,2,No,592,Man,6
CADILLAC,CT5 V,6.2,8.0,2WD,Gasoline,midsize car,3,13,21,16,3,No,558,SemiAuto,10
